Fp1-LE_alpha,F3-LE_alpha,C3-LE_alpha,P3-LE_alpha,O1-LE_alpha,F7-LE_alpha,T3-LE_alpha,T5-LE_alpha,Fz-LE_alpha,Fp2-LE_alpha,F4-LE_alpha,C4-LE_alpha,P4-LE_alpha,O2-LE_alpha,F8-LE_alpha,T4-LE_alpha,T6-LE_alpha,Cz-LE_alpha,Pz-LE_alpha,A2-A1_alpha,class
29.28,36.35,38.23,55.76,136.27,23.51,16.28,90.32,38.57,25.1,30.03,20.45,54.16,184.35,19.65,11.36,64.81,34.14,38.2,24.92,0
34.56,43.48,44.85,64.22,138.8,26.02,13.44,60.31,50.84,32.87,43.74,39.17,72.24,186.44,23.0,13.11,57.39,47.79,68.08,16.33,0
28.63,35.91,32.44,51.32,99.37,22.57,16.32,58.95,41.44,30.17,33.41,24.11,69.21,154.5,19.82,10.39,63.36,35.05,59.82,17.74,0
33.52,40.87,41.59,57.35,113.6,26.32,15.58,54.0,43.76,30.17,36.95,25.63,71.12,189.74,22.28,10.48,54.1,38.3,66.15,18.17,0
18.04,25.28,36.38,42.2,90.48,17.59,16.98,43.88,27.14,16.34,24.34,40.78,63.74,150.65,15.05,13.58,50.37,38.75,57.96,18.58,0
15.2,17.31,16.71,29.98,58.14,13.96,10.86,29.35,17.77,11.69,16.2,15.39,31.16,82.92,11.37,11.66,23.4,19.71,29.37,23.52,0
35.09,46.01,42.98,67.06,155.97,26.96,13.6,76.11,48.06,33.8,38.97,32.67,77.06,196.15,25.04,13.27,58.45,45.89,67.34,18.81,0
33.32,40.97,44.06,44.25,77.62,23.85,14.3,39.37,51.45,34.97,48.35,49.66,63.12,112.22,29.59,19.28,42.8,54.94,65.71,16.08,0
33.47,42.96,42.72,41.55,96.74,24.77,13.14,39.53,50.72,31.76,47.54,38.78,43.49,125.32,25.05,13.59,36.14,60.27,56.26,17.78,0
16.16,18.14,33.71,51.97,74.72,12.38,14.58,51.41,20.54,15.38,18.64,37.89,71.19,139.19,13.52,18.5,58.63,28.28,56.62,21.17,0
21.3,25.39,24.31,56.77,97.8,15.72,9.23,53.59,32.52,21.35,31.16,37.24,48.28,94.13,15.98,11.03,29.14,34.43,53.72,17.26,0
21.61,24.76,39.36,57.21,116.92,14.27,15.22,67.01,33.1,22.26,31.1,44.0,62.57,148.11,18.34,16.51,44.14,42.92,72.43,18.21,0
11.2,13.97,30.72,43.73,56.57,9.67,10.58,34.44,14.97,10.77,13.31,20.75,63.87,133.04,8.76,6.46,52.59,20.69,45.66,18.55,0
25.17,29.32,37.23,104.95,188.71,15.43,13.62,84.15,34.56,27.29,32.49,42.42,111.07,228.46,19.72,16.79,54.68,37.76,108.41,19.6,0
23.92,32.77,43.69,50.85,69.02,21.24,20.33,57.02,36.32,23.2,33.1,36.97,42.56,118.91,20.42,13.77,49.93,44.32,51.76,28.68,0
20.34,24.58,29.38,35.9,73.21,17.18,12.73,31.87,27.52,18.97,23.35,18.82,33.72,155.05,11.51,5.33,38.39,28.04,41.24,17.26,0
20.26,32.72,44.34,51.16,72.3,17.31,13.76,29.27,35.84,20.62,32.8,36.9,55.48,124.42,17.95,13.67,40.18,47.11,77.75,16.3,0
30.33,33.57,34.02,80.66,187.42,23.23,15.83,72.45,42.1,31.5,35.89,33.42,62.16,224.68,22.58,14.56,40.56,43.11,91.81,20.95,0
23.54,25.6,32.25,44.7,73.9,18.42,14.92,54.3,30.34,24.51,28.93,32.3,44.17,111.91,19.29,12.48,48.75,30.7,48.11,22.53,0
23.25,22.27,33.87,70.65,105.99,15.28,12.26,46.82,28.66,21.94,24.11,26.86,54.73,181.66,14.31,8.31,43.29,31.35,86.55,16.03,0
26.47,29.47,22.37,59.83,155.38,23.14,13.68,76.98,34.13,27.99,31.96,25.76,77.14,211.78,23.55,10.49,70.4,35.28,61.34,19.9,0
13.67,17.32,31.35,41.14,66.07,9.36,11.52,57.81,21.57,16.18,24.56,30.63,39.01,100.83,19.83,18.27,52.1,25.22,41.51,22.55,0
25.28,28.26,28.33,67.68,110.32,19.56,12.51,70.68,29.46,23.17,24.79,22.56,55.34,154.92,14.2,11.12,65.97,25.35,62.08,20.71,0
26.55,32.31,29.89,75.85,143.88,19.41,14.84,81.97,37.12,23.69,33.77,23.03,67.44,171.45,19.33,11.42,58.79,38.78,78.2,18.8,0
23.36,25.41,46.66,39.99,48.73,16.6,18.77,30.14,32.48,23.02,32.12,37.41,44.11,82.46,18.47,11.47,27.72,37.62,53.68,19.8,0
26.65,27.4,27.48,45.16,98.12,17.85,9.96,57.06,32.71,26.95,29.4,25.42,50.89,146.11,20.03,11.25,50.23,29.04,46.81,19.53,0
13.01,17.0,19.52,11.14,7.37,15.94,6.0,5.51,13.96,8.44,11.91,16.09,15.44,10.58,7.08,4.78,8.98,16.01,14.55,15.2,0
22.22,16.62,41.6,33.15,33.93,14.67,16.88,18.72,16.82,20.69,16.19,28.34,57.32,77.2,10.82,8.84,36.04,21.62,46.23,21.03,0
9.59,11.38,19.13,15.14,19.39,7.59,6.45,11.09,10.92,9.76,9.97,17.28,25.07,33.38,5.55,6.96,17.84,13.38,20.36,14.79,0
7.49,10.3,22.48,19.34,22.1,6.27,10.05,12.9,9.69,6.85,9.97,20.12,34.34,42.44,6.23,7.63,32.34,12.39,23.35,17.59,0
18.49,20.13,29.93,41.75,52.14,14.56,12.72,22.99,19.55,14.17,16.77,25.0,59.42,90.31,6.75,7.99,36.85,24.75,58.35,22.19,0
17.99,23.04,27.13,29.07,35.2,13.87,11.96,21.66,24.83,16.23,20.94,26.71,85.17,133.31,11.26,14.37,85.23,22.89,41.61,23.45,0
11.58,11.59,20.78,37.47,36.89,6.58,8.93,24.23,18.99,16.06,20.19,32.72,61.1,66.26,10.71,5.86,26.11,17.67,52.65,17.47,0
11.52,14.52,28.16,21.97,26.94,5.96,10.41,17.9,15.45,12.7,13.29,23.75,19.28,27.06,8.42,7.76,18.03,19.13,19.93,19.81,0
8.71,14.48,26.5,39.39,37.92,8.58,12.45,18.92,14.64,7.06,13.09,39.15,84.13,88.7,7.07,13.9,54.57,27.02,67.25,24.17,0
21.14,15.26,30.64,29.45,25.25,10.12,12.44,20.16,15.31,20.0,13.35,21.13,32.32,38.21,11.02,8.75,25.7,20.46,30.04,22.22,0
9.68,13.05,18.86,23.77,37.08,8.05,7.54,16.17,13.76,9.84,13.87,13.95,34.46,62.83,8.18,4.24,28.65,16.89,29.17,17.57,0
7.96,9.57,15.79,27.03,38.33,5.72,6.82,21.55,11.01,7.66,10.5,12.1,24.66,47.02,6.58,6.04,20.84,11.82,25.91,17.1,0
28.85,29.2,29.04,58.29,89.2,17.15,11.19,39.32,36.01,26.99,32.4,35.5,73.34,123.85,16.13,11.27,55.11,33.79,67.44,18.15,0
10.75,13.24,22.19,37.27,43.47,8.41,9.96,24.57,14.89,11.36,14.87,24.67,52.33,61.49,8.59,7.93,32.16,22.83,46.64,20.48,0
15.3,17.05,17.23,18.95,33.47,10.85,6.89,14.15,18.33,14.84,16.59,15.17,24.99,57.39,10.16,7.02,17.47,18.91,20.39,18.06,0
15.69,18.42,19.62,48.7,70.15,10.57,7.61,23.2,19.59,16.3,16.42,21.58,78.27,129.31,9.0,8.67,54.06,23.25,78.02,21.33,0
15.66,17.45,19.39,28.54,36.9,9.35,8.23,18.61,18.49,15.64,16.44,16.77,36.42,76.2,9.8,6.32,32.73,20.94,37.02,17.13,0
13.94,12.56,21.55,59.85,87.51,8.56,7.48,40.77,15.82,13.47,15.11,28.13,86.77,127.49,7.77,7.88,45.84,23.36,80.56,17.37,0
9.87,9.27,15.35,20.25,26.06,6.13,8.17,16.26,9.42,10.51,9.07,21.12,16.63,25.96,5.95,6.6,10.89,14.15,18.77,19.56,0
7.06,12.18,33.43,31.38,31.0,6.08,11.05,18.38,12.21,9.1,11.32,18.39,27.21,31.26,7.27,6.71,14.66,17.5,33.52,20.69,0
12.29,12.64,13.36,11.36,11.35,8.05,6.4,8.35,12.67,13.63,12.91,18.3,13.6,13.87,8.05,5.35,7.58,14.59,14.25,16.69,0
15.77,16.49,16.57,22.63,38.49,9.98,7.66,13.72,20.52,19.08,18.85,15.6,38.36,69.82,15.14,8.7,27.78,20.29,29.67,21.45,0
11.47,13.86,17.41,16.76,27.66,8.89,7.49,12.11,12.7,12.21,11.41,12.8,18.31,24.44,8.09,5.03,12.13,13.35,14.75,20.69,0
15.32,12.8,21.96,35.54,50.58,9.29,8.12,29.3,15.86,15.46,15.04,17.27,59.5,98.01,8.79,6.46,52.44,16.36,42.64,16.01,0
17.0,16.17,25.12,54.43,85.94,13.62,13.3,42.05,16.75,13.85,14.54,22.06,91.59,162.24,7.65,7.3,69.63,19.41,65.48,21.71,0
15.57,19.24,31.38,47.15,53.81,11.97,14.02,33.76,20.33,15.81,17.43,24.27,70.18,119.41,9.85,8.95,60.06,22.66,49.45,19.35,0
17.59,22.63,32.1,47.29,48.71,15.76,14.65,26.97,18.92,12.44,16.37,20.08,41.81,60.38,8.47,6.47,28.88,22.8,42.09,17.76,0
11.82,13.3,44.58,50.53,53.29,8.81,18.75,40.26,12.87,11.11,11.03,19.78,42.74,65.61,9.53,9.27,41.7,15.34,38.16,24.58,0
13.94,16.72,21.33,26.52,45.49,10.56,10.02,23.78,16.86,13.78,14.63,21.98,57.71,102.73,10.36,9.72,55.62,18.59,33.54,21.49,0
14.88,16.83,22.36,27.51,40.6,10.07,9.95,22.26,18.28,15.22,16.87,18.48,32.76,68.42,9.47,7.29,29.81,19.87,25.53,17.49,0
11.95,16.35,22.7,41.01,47.48,11.74,10.47,27.27,16.5,8.92,13.31,19.58,36.17,47.06,5.29,6.06,22.35,15.76,35.65,19.14,0
10.98,16.55,15.6,17.48,31.73,10.21,8.66,11.91,18.76,10.18,16.88,15.38,23.06,49.09,7.64,5.87,18.89,20.92,21.88,17.42,0
11.0,14.04,33.18,51.23,66.22,8.09,9.3,28.34,15.81,11.6,14.78,24.76,83.13,114.23,9.66,9.26,53.73,24.29,73.16,18.51,0
20.45,22.75,43.38,66.53,62.4,15.64,16.39,45.01,20.74,16.06,14.97,21.14,55.84,79.56,7.89,8.31,47.32,23.8,54.83,22.17,0
10.55,15.85,33.94,27.82,22.37,8.46,11.43,19.48,14.22,8.53,9.8,28.02,51.07,44.69,5.13,10.42,34.85,19.44,32.48,19.87,0
10.44,13.83,34.46,62.1,74.23,9.24,11.96,40.62,13.63,8.25,11.72,27.29,72.46,113.66,5.76,9.73,53.68,16.37,59.39,17.36,0
12.46,11.86,29.8,56.4,49.61,7.5,12.84,36.18,12.1,10.86,11.07,19.41,64.16,85.24,7.04,9.3,45.16,17.79,56.2,20.31,0
17.16,20.6,26.76,40.7,52.5,11.38,10.98,38.58,23.04,17.8,17.89,22.57,56.63,96.79,10.98,6.99,44.43,25.22,40.99,16.33,0
14.63,15.29,26.58,29.13,47.77,12.29,10.42,28.07,15.42,14.05,14.51,24.13,52.07,81.5,8.34,8.6,56.32,18.92,27.83,20.88,0
10.99,10.09,17.48,25.0,36.75,7.84,7.89,16.2,11.09,9.05,10.44,19.61,35.04,43.7,6.39,6.36,20.63,15.28,30.28,18.01,0
11.21,13.35,27.66,34.29,56.72,8.02,11.69,23.58,14.79,11.27,12.23,21.03,92.34,174.37,6.87,7.73,74.06,17.43,56.77,18.36,0
18.19,18.38,25.88,25.94,49.19,12.56,10.71,23.4,19.78,17.89,19.34,29.4,68.46,140.34,11.53,10.94,48.51,25.0,41.96,25.03,0
15.71,10.8,18.24,15.67,16.55,8.85,9.79,11.9,12.43,16.05,11.54,19.48,17.36,17.12,10.2,8.6,11.38,15.03,18.85,28.44,0
5.86,8.26,12.05,26.17,28.93,6.42,6.59,13.44,9.46,5.84,10.29,21.59,55.94,59.67,6.16,8.81,28.54,14.99,49.53,24.08,0
13.98,12.46,16.05,16.46,18.73,7.56,6.81,11.48,14.6,14.47,13.41,20.04,19.9,22.0,8.2,6.38,10.5,15.22,20.52,20.46,0
5.4,10.62,31.49,17.05,11.0,6.46,8.95,9.44,9.89,5.12,9.51,14.82,14.32,14.45,4.98,6.19,11.06,13.05,14.24,17.22,0
8.94,13.71,13.8,20.31,24.99,8.14,7.78,13.81,13.38,10.02,11.28,16.68,45.22,63.1,7.15,5.06,36.98,14.82,30.88,18.44,0
8.85,11.48,21.3,19.96,20.05,8.28,14.37,16.9,11.36,9.48,10.46,12.12,20.02,28.94,8.55,6.45,16.01,13.83,21.14,25.78,0
9.08,12.09,25.15,28.11,30.13,7.21,9.35,18.82,15.21,10.17,15.21,17.51,34.91,42.94,8.37,8.23,24.6,17.09,34.36,17.63,0
8.15,8.52,11.48,10.62,13.86,5.82,4.53,5.99,9.03,7.53,7.66,9.5,12.86,19.17,5.77,5.57,10.39,9.57,13.85,19.4,0
10.99,15.74,30.39,22.46,23.91,12.25,8.04,16.25,14.92,13.04,17.68,30.19,42.77,62.75,12.09,8.33,37.29,20.03,26.56,17.09,0
7.08,10.73,17.17,12.86,13.27,8.34,7.29,8.73,9.89,6.34,8.35,18.54,17.54,15.03,5.53,7.34,11.62,10.46,17.56,23.52,0
13.12,14.31,15.75,26.38,32.49,10.54,8.64,14.07,14.09,11.05,11.77,21.77,43.79,72.4,7.31,6.35,33.89,15.79,34.95,18.56,0
9.74,11.06,26.5,30.74,29.02,6.89,11.0,26.53,12.05,10.77,9.91,24.42,66.8,85.08,5.49,7.05,54.41,14.13,36.04,22.75,0
14.6,14.56,25.19,19.32,28.37,12.13,10.47,10.66,14.69,11.74,11.68,26.93,70.73,118.94,6.18,10.17,59.91,13.43,35.94,22.09,0
8.64,12.01,18.31,13.2,11.28,7.19,7.66,7.85,14.72,9.16,11.72,23.63,23.82,18.67,6.23,8.2,15.45,14.48,19.5,17.89,0
13.31,12.75,20.94,19.57,15.65,6.33,7.93,11.38,15.11,13.88,14.11,19.95,20.77,20.36,8.13,6.54,13.8,17.88,22.34,17.22,0
15.37,16.75,31.75,79.63,97.4,10.52,14.35,71.98,18.61,16.04,16.32,25.42,79.85,104.81,9.35,7.02,50.02,22.0,79.89,18.78,0
16.88,16.91,17.85,22.91,31.04,12.34,9.88,18.13,18.93,14.7,15.91,20.84,72.42,133.63,7.89,9.06,74.72,16.9,38.56,23.04,0
19.34,16.11,21.09,39.17,49.98,14.18,11.57,35.89,17.25,15.6,13.07,12.64,54.29,74.09,7.83,7.71,50.25,14.08,36.38,24.5,0
11.69,15.67,26.21,43.61,50.47,9.15,9.33,23.66,14.97,11.92,11.37,21.18,98.92,124.38,8.02,6.02,66.07,21.73,76.2,22.13,0
11.51,14.06,11.74,10.36,10.85,7.22,6.57,6.71,19.91,15.33,19.79,12.97,13.48,18.88,8.72,4.15,12.56,19.41,14.17,18.07,0
74.1,106.74,106.19,65.83,50.12,65.69,51.57,31.43,109.84,66.19,95.04,69.35,42.02,76.13,48.5,23.53,46.25,130.08,99.89,11.16,0
63.46,87.48,82.4,92.04,108.98,51.8,41.0,64.84,99.04,62.14,92.24,83.31,96.66,111.86,51.9,42.16,63.51,112.89,117.72,11.32,0
57.62,78.45,86.77,127.37,170.22,49.36,47.28,98.62,89.19,59.34,81.14,105.86,115.62,157.05,47.55,44.61,99.65,124.13,163.19,8.61,0
64.69,93.37,113.56,138.02,171.11,57.3,61.62,101.29,100.97,60.13,89.99,74.87,93.96,114.63,47.45,37.26,81.23,129.71,148.74,10.29,0
89.85,121.2,140.89,159.81,217.98,74.97,70.78,118.16,128.0,80.69,105.94,107.99,135.23,188.91,51.61,44.66,136.2,166.61,184.91,11.91,0
64.37,84.44,79.58,83.2,115.19,47.26,39.1,65.81,100.18,63.92,91.11,74.06,76.9,79.96,48.15,36.01,45.76,110.94,108.28,9.58,0
59.48,71.24,88.52,119.41,162.04,43.37,50.79,89.26,84.55,62.53,84.25,110.06,133.87,142.94,54.19,61.47,95.08,99.64,137.14,13.42,0
23.58,39.59,80.05,80.48,84.32,22.66,40.29,59.86,46.89,24.3,48.43,67.46,58.99,61.53,26.42,31.37,28.56,71.33,88.03,8.74,0
84.97,123.38,127.07,129.24,146.41,67.56,52.45,71.5,142.35,80.33,125.32,116.19,120.18,150.52,59.01,36.21,57.29,186.75,210.25,7.64,0
32.43,49.45,76.24,97.56,117.05,30.75,40.32,68.25,53.04,32.18,52.41,84.66,78.3,94.69,30.22,41.74,48.23,84.54,115.9,9.36,0
75.5,95.67,91.39,105.51,166.84,58.55,43.61,82.54,113.69,75.16,103.21,69.5,98.06,170.34,55.43,32.07,123.05,116.43,125.7,8.24,0
75.47,102.29,105.82,109.91,146.7,61.54,53.14,89.93,117.56,79.6,105.05,72.27,65.59,139.94,60.94,29.88,86.33,132.18,123.06,17.16,0
66.35,82.38,93.74,73.66,117.12,60.73,55.04,66.75,85.81,58.88,77.69,93.46,130.84,188.32,46.58,58.99,167.81,112.88,118.2,20.83,0
69.95,80.26,70.89,80.84,159.92,47.13,36.05,71.98,98.47,75.25,92.02,84.75,96.27,174.84,58.59,40.8,111.81,100.82,102.27,8.46,0
61.23,80.6,66.35,73.9,139.43,48.74,31.57,65.74,92.22,61.07,82.6,65.21,107.41,183.27,48.38,40.47,143.34,84.39,83.55,9.05,0
55.72,76.97,97.16,140.78,214.78,46.86,50.36,119.62,84.77,54.64,71.3,53.77,104.41,202.68,35.36,25.26,106.51,112.67,156.3,13.78,0
61.47,84.0,136.86,162.31,149.34,53.65,81.81,113.65,90.5,56.95,77.18,74.12,117.99,158.67,38.29,39.68,116.89,112.95,149.84,13.85,0
58.06,75.5,55.3,50.33,139.62,45.07,26.55,48.85,86.36,57.4,74.15,68.68,100.1,199.17,40.59,43.83,138.79,74.28,63.03,11.72,0
32.4,37.78,44.36,52.89,120.22,24.98,26.73,44.35,44.32,30.81,40.68,57.71,96.07,189.15,21.84,43.29,121.18,52.89,76.44,11.11,0
51.98,63.03,68.47,52.72,64.37,37.58,35.09,41.67,72.1,54.29,66.01,45.99,60.17,87.37,38.36,29.19,71.92,62.1,62.14,9.4,0
54.22,61.48,53.29,67.45,114.38,36.92,28.15,59.44,73.34,52.86,64.74,46.11,99.72,207.63,34.37,28.7,128.66,57.62,75.05,6.94,0
41.03,59.0,94.96,72.68,58.55,36.89,54.76,48.36,62.52,39.44,54.27,53.32,67.34,98.79,25.46,25.55,78.21,72.4,71.32,9.4,0
62.03,79.43,87.29,61.61,87.94,49.87,45.91,49.64,84.43,56.55,71.91,63.08,67.26,146.92,33.62,27.11,111.24,75.54,62.19,11.28,0
52.86,68.8,62.19,52.27,76.89,44.71,31.53,36.95,71.68,49.31,59.87,41.47,45.72,92.69,29.27,19.93,64.74,68.89,56.27,7.36,0
65.26,95.74,117.53,127.16,165.68,54.04,50.38,72.34,113.2,68.33,111.91,156.66,210.13,234.76,59.03,68.42,153.13,168.72,224.31,5.92,0
70.62,93.6,93.18,72.36,162.05,56.13,41.19,61.52,104.94,71.5,93.41,67.91,65.1,154.83,47.05,27.33,86.23,114.2,100.71,9.75,0
64.53,74.83,57.29,58.33,113.66,48.91,29.88,43.87,85.45,61.07,79.44,70.42,111.65,212.92,43.08,39.15,143.44,80.72,89.21,10.07,0
69.35,78.35,69.49,73.63,144.51,50.02,36.65,67.99,89.57,66.69,81.38,82.58,97.28,166.54,48.61,45.99,115.15,91.49,95.77,9.99,0
32.49,41.58,59.06,62.44,91.33,24.2,33.61,48.45,50.19,35.14,48.28,43.92,61.96,95.81,25.74,25.11,54.34,56.33,71.82,7.8,0
31.76,46.53,62.3,70.33,86.69,30.85,39.94,52.58,45.89,27.19,41.01,51.07,66.13,112.71,18.9,29.78,72.93,58.26,71.47,12.3,0
69.85,85.89,91.32,77.27,97.24,55.06,51.7,57.78,95.87,68.85,77.5,59.81,75.14,95.59,42.31,32.47,75.95,95.52,88.68,12.11,0
48.17,74.35,111.59,89.37,54.03,47.75,64.64,50.67,76.22,43.17,63.21,58.32,61.48,73.14,30.05,24.83,44.45,101.67,101.34,12.91,0
100.85,124.93,133.31,174.51,285.19,76.03,66.58,154.61,144.16,98.54,132.93,105.52,127.77,285.26,71.07,32.68,127.36,162.14,187.3,13.84,0
86.18,107.35,99.27,75.2,88.05,62.68,43.37,45.13,128.5,83.1,123.38,120.79,107.26,114.64,65.58,51.64,86.25,134.34,114.82,8.14,0
61.38,87.99,101.92,133.58,197.02,56.07,59.96,109.41,98.39,61.9,89.88,98.69,132.57,201.01,46.41,43.44,120.47,124.17,158.89,9.51,0
44.04,64.72,74.38,73.3,102.7,40.95,39.38,55.15,68.65,40.72,64.29,78.1,82.2,157.75,38.46,41.94,90.64,87.58,89.07,11.31,0
26.72,39.42,62.42,66.99,101.31,28.03,38.72,49.99,37.42,22.6,34.33,50.71,89.98,166.85,19.88,33.92,101.8,58.23,87.23,12.24,0
54.87,75.11,67.32,65.62,102.83,43.57,30.59,49.34,83.11,51.72,68.64,59.81,95.71,170.88,35.91,30.09,135.33,86.01,84.41,7.49,0
39.64,55.14,58.44,76.12,162.41,31.2,31.58,70.24,64.64,45.96,62.64,63.85,83.74,178.15,40.57,33.82,110.11,79.2,94.47,14.8,0
37.54,50.99,87.9,89.31,83.57,29.1,46.56,62.52,59.35,38.16,51.61,69.55,70.56,66.4,28.45,36.16,47.42,83.01,100.61,10.86,0
60.66,75.35,72.41,62.51,65.12,43.42,32.5,39.44,87.61,63.1,82.66,87.67,114.02,96.59,46.9,52.5,118.71,99.12,105.38,11.05,0
59.38,81.3,105.58,131.26,181.26,50.11,54.14,105.01,87.99,53.35,82.34,111.1,133.2,161.06,42.74,58.44,118.51,111.66,147.94,12.4,0
17.9,24.69,33.86,28.69,27.56,17.07,18.6,19.82,26.81,16.84,25.89,32.96,29.01,31.58,13.77,15.56,20.71,35.17,37.38,5.42,0
29.37,37.62,57.73,56.76,82.96,22.56,30.67,45.9,44.49,32.22,41.35,46.33,63.83,95.67,22.54,25.7,58.48,47.09,63.49,6.63,0
19.41,30.83,55.59,50.18,43.45,18.95,30.48,35.16,32.2,19.36,29.56,44.19,34.81,37.67,15.7,21.19,22.35,43.37,47.68,6.53,0
62.29,79.64,88.23,112.1,202.51,48.11,47.16,103.16,88.45,62.39,77.74,56.51,114.03,207.13,45.55,33.34,145.95,88.76,115.02,9.81,0
27.11,36.94,39.96,30.12,33.62,21.34,21.91,21.04,39.69,25.9,36.79,41.26,37.12,55.4,21.35,25.35,54.05,44.86,37.44,12.72,0
39.0,52.86,56.03,49.57,85.47,31.66,21.98,28.94,64.62,42.08,58.41,53.47,58.07,116.44,30.31,17.65,62.42,91.3,106.04,8.83,0
66.5,83.19,98.49,114.06,183.47,52.86,43.99,81.76,91.76,64.5,84.82,90.63,184.42,285.65,50.76,54.77,196.26,93.95,139.24,7.8,0
16.59,25.5,46.65,43.39,46.33,13.46,25.48,27.89,29.23,18.24,27.48,49.07,64.52,58.2,16.11,32.85,39.04,38.62,57.27,7.73,0
48.91,65.28,68.58,60.57,124.33,33.51,33.79,55.62,81.56,52.37,78.93,83.31,82.36,155.09,43.41,39.28,70.07,95.97,95.57,10.46,0
43.06,54.0,56.7,49.9,74.65,34.28,24.3,34.05,64.66,43.54,64.69,55.33,68.54,137.25,32.19,24.91,112.93,65.24,65.21,8.21,0
39.99,52.3,58.52,58.4,73.79,32.84,34.39,44.74,60.5,41.63,53.03,50.22,43.13,84.68,32.24,25.87,44.6,64.71,60.03,9.59,0
34.81,45.77,52.42,45.7,63.1,29.54,31.7,29.45,49.82,34.23,44.4,48.89,93.65,129.62,22.02,36.03,119.5,52.83,67.66,10.16,0
43.98,56.58,50.81,44.3,87.16,33.45,22.44,27.48,66.26,43.65,65.64,66.82,81.63,153.12,37.98,29.59,79.02,80.81,77.67,4.87,0
26.54,32.99,30.51,24.75,42.62,19.56,16.18,24.72,38.98,26.54,35.71,33.37,18.48,43.95,19.44,15.52,18.95,39.39,29.42,5.78,0
44.6,60.74,67.49,48.52,28.39,38.31,37.07,34.79,62.55,42.17,53.37,46.25,33.25,34.58,30.26,24.64,37.82,59.37,47.41,9.32,0
19.22,30.74,48.28,38.17,33.65,15.72,26.62,25.8,37.93,19.12,34.14,52.56,57.19,69.06,15.99,29.83,45.75,47.4,50.07,6.04,0
20.85,23.76,32.56,39.04,73.85,15.07,23.49,42.59,25.49,19.47,22.21,22.74,57.58,99.17,14.21,22.11,72.19,19.83,34.79,8.26,0
9.06,10.81,12.03,13.48,12.39,5.94,4.77,8.07,13.03,9.55,13.15,14.59,15.99,15.39,7.09,8.56,12.33,14.87,16.69,3.67,0
10.03,19.0,19.11,19.56,13.53,7.49,6.19,10.91,25.36,10.94,27.02,53.78,40.32,26.14,12.73,30.89,32.81,31.2,30.95,5.67,0
7.86,10.75,27.37,16.87,12.48,5.87,16.03,15.48,11.97,8.9,11.01,26.53,19.84,14.07,6.2,18.36,17.67,10.41,11.25,5.49,0
8.82,13.48,17.53,10.82,7.72,6.89,13.39,9.42,18.82,9.93,17.41,16.92,11.46,7.05,7.25,11.16,9.28,11.58,9.17,3.55,0
13.51,13.65,32.48,16.8,7.38,7.85,19.73,13.7,18.49,13.27,17.96,23.6,16.19,9.74,10.72,20.47,15.8,10.39,11.15,7.41,0
11.53,14.46,16.14,12.17,24.76,7.57,8.87,13.26,18.14,11.77,17.29,17.55,19.18,43.74,10.44,10.52,18.96,14.56,13.14,5.41,0
10.06,11.78,28.15,14.94,10.11,6.29,18.39,11.79,14.57,10.24,12.4,31.28,25.71,17.23,7.06,22.98,22.01,10.02,11.5,4.22,0
11.42,13.17,36.39,17.88,11.11,8.19,18.22,15.49,15.12,12.64,15.96,30.8,25.58,13.24,11.0,17.68,18.74,11.24,14.1,3.48,0
8.8,13.97,26.45,16.23,19.39,6.37,13.29,14.83,18.86,10.15,19.68,23.65,21.66,19.79,10.16,15.46,17.9,18.03,18.96,5.54,0
8.58,12.48,11.98,6.89,7.37,7.37,6.94,6.26,12.47,7.74,13.25,17.95,12.23,9.89,6.63,10.41,10.36,8.7,7.25,1.96,0
10.3,12.7,26.33,14.76,12.58,6.18,12.78,11.91,18.13,11.14,19.23,31.42,21.22,13.03,8.86,19.28,16.03,11.95,12.62,4.03,0
13.85,14.44,18.55,10.36,14.7,8.69,8.65,8.66,14.99,13.62,11.95,18.94,16.51,20.78,6.9,11.92,13.42,8.92,9.87,3.21,0
9.1,11.95,7.72,5.93,9.77,5.55,4.05,5.59,14.56,9.66,15.8,20.64,15.47,16.32,8.52,11.71,12.41,11.06,10.06,2.64,0
9.66,13.47,20.19,13.3,26.28,7.03,10.79,14.19,16.45,11.5,16.45,27.13,19.68,14.78,10.79,16.94,13.54,18.09,17.7,3.95,0
15.61,23.52,34.71,20.22,18.2,11.2,20.36,18.3,29.46,18.2,28.3,30.23,22.84,16.72,16.89,20.73,17.09,29.0,28.09,7.65,0
10.65,14.28,30.56,24.2,28.19,8.89,25.58,24.59,19.38,12.5,20.02,38.0,26.51,39.04,12.98,27.33,22.63,21.42,21.73,8.19,0
16.14,20.18,26.74,31.25,52.98,11.61,15.56,23.49,24.63,15.77,22.43,40.3,59.02,75.26,10.76,28.02,46.55,26.7,44.84,5.35,0
13.1,17.43,18.61,14.25,21.89,10.53,9.19,10.78,18.48,11.77,18.67,20.45,22.71,43.79,10.55,14.06,18.02,17.99,22.04,3.99,0
14.76,21.62,38.58,18.41,14.56,12.18,23.01,15.08,25.07,16.12,22.89,43.73,34.19,31.37,12.72,28.24,29.1,20.98,20.91,5.8,0
13.34,21.45,34.88,24.08,18.25,11.17,15.37,15.46,25.74,12.24,22.75,33.72,44.1,45.72,10.32,21.1,40.28,29.08,30.94,4.81,0
17.41,24.89,39.05,48.58,86.72,12.1,21.61,40.45,32.42,19.42,33.14,48.92,51.38,63.01,18.05,30.33,36.6,41.18,57.67,9.11,0
